NAME20,total_buildings,buildings_w_height_measurement,mean_height,median_height,sd_height,min_height,max_height
"Eagle Mountain, UT",2956,2699,3.538780167773065,4.603089809417725,2.175096453237408,1.293661043746397e-4,8.272706031799316
"Eagle Pass, TX",20867,14399,3.8727435865487663,3.7401742935180664,0.8845854830803356,2.500551462173462,19.710966110229492
"Eagle, CO",2306,1760,4.878518981147896,4.970674514770508,0.9562378678484885,2.5034120082855225,9.84075164794922
"Earlimart, CA",1990,1570,3.524792088976332,3.4443095922470093,0.6343585018237589,2.503450870513916,7.306166172027588
"East Aurora, NY",4638,4159,4.577483720405654,4.447892665863037,1.2087392138473465,2.5014488697052,12.816278457641602
"East Hampton North--Springs--Northwest Harbor, NY",8819,8814,6.074697712517891,6.063859701156616,1.4625598730624774,0.046107783913612366,19.370649337768555
"East Liverpool, OH--WV--PA",12998,10450,4.068724907779237,3.8019782304763794,1.4041717920368697,2.5002663135528564,27.45708656311035
"East Palestine, OH",2951,2367,3.9669939189406453,3.8745312690734863,0.9326016788794506,2.501980781555176,16.320716857910156
"East Stroudsburg--Stroudsburg, PA",15300,13597,5.038359314148466,4.944955825805664,1.2915092165593727,2.50121808052063,15.991005897521973
"East Tawas, MI",3856,3045,4.20102112845247,3.9216067790985103,1.2805534161012735,2.500016927719116,15.718185424804688
"Eaton Rapids, MI",2506,2502,3.6000562912615526,3.4941612482070923,1.5202452658644106,0.010425716638565063,12.892634391784668
"Eaton, CO",2477,1893,4.4371586548734205,4.3761749267578125,1.2205388894821514,2.5069897174835205,23.248510360717773
"Eaton, OH",4182,3045,3.919008637805682,3.527322769165039,1.4711494136939227,2.5005874633789063,20.943988800048828
"Eau Claire, WI",42268,42130,4.513880871063499,4.424229145050049,1.6638521190327022,1.6005121869966388e-4,31.373592376708984
"Edgerton, WI",4378,4034,4.624340636534662,4.483491897583008,1.5969042617614484,1.4615608961321414e-4,18.01131820678711
"Edinboro, PA",1752,1385,4.5193524587886,4.17181396484375,1.4259968314363052,3.001283645629883,16.84601402282715
"Edna, TX",3112,3100,3.4634171893441255,3.348202705383301,1.483492049536388,6.621055072173476e-4,13.965624809265137
"Edwards--Avon, CO",4169,3459,5.100912546897837,4.9577155113220215,1.554411879939965,2.5001649856567383,23.277631759643555
"Effingham, IL",7101,5634,4.214008056783151,3.8524090051651,1.6836009841934303,2.50040602684021,31.783119201660156
"El Campo, TX",6623,4938,4.050945919406901,3.768369197845459,1.3783944881219585,2.5008931159973145,26.915746688842773
"El Centro, CA",22043,15894,3.988085767090868,3.7593573331832886,1.0787271667071263,2.5001282691955566,23.385536193847656
"El Dorado, AR",9684,8353,4.693048019973187,4.278519153594971,1.7603874148148222,2.500096321105957,22.148635864257813
"El Dorado, KS",14314,12452,4.5424773147011965,4.317458391189575,1.6749185709354681,2.50103497505188,32.162078857421875
"El Paso de Robles (Paso Robles)--Atascadero, CA",25071,22627,4.274407084770976,4.108816623687744,1.0942924832839311,2.5006937980651855,18.45748519897461
"El Paso, TX--NM",10312,9346,2.8706677730207106,3.0700409412384033,1.4606725798773599,2.9095140052959323e-4,16.373754501342773
"El Reno, OK",8020,7809,3.232998636212346,3.305311679840088,1.3243119989388608,3.2123352866619825e-4,19.323192596435547
"Eldon, MO",2581,2074,3.9597017105198185,3.730399489402771,1.0657568485146167,2.5020487308502197,12.866100311279297
"Elizabethtown--Radcliff, KY",28569,25414,4.470679181826639,4.347501039505005,1.467619492643193,2.0384762319736183e-4,28.78156089782715
"Elk City, OK",6669,4945,3.7993203307789183,3.637101173400879,0.8895733443222367,2.500882625579834,11.48400592803955
"Elkhart, IN--MI",1385,1178,4.280624146777219,4.079329013824463,1.2505342856660593,2.5096027851104736,15.68597412109375
"Elkins, WV",6060,4439,3.913749213475423,3.722959280014038,1.0369663938479015,2.500314950942993,13.359375
"Elko, NV",7138,3242,3.98270633498656,3.848839521408081,0.8604271760958564,3,15.236979484558104
"Elkton, VA",37,18,5.837401191393535,6.18408727645874,1.1404305197670852,2.719456911087036,7.25382137298584
"Ellensburg, WA",9184,7129,4.216975525562919,4.091738224029541,1.049806454052178,2.500663995742798,18.575271606445313
"Ellenville, NY",2105,1784,4.46469126528154,4.274592876434326,1.3655558265720373,2.50028920173645,17.668245315551758
"Ellwood City, PA",7984,6219,4.011197901439161,3.8863525390625,1.0479192580022318,2.5002617835998535,17.1395320892334
"Elmira, NY",30698,24691,4.066187823298181,3.921192169189453,1.0705552927609456,2.500551462173462,19.996301651000977
"Elwood, IN",6824,5162,3.8218409346776707,3.673914074897766,0.9151855344927795,2.500091075897217,10.581084251403809
"Ely, NV",3020,3010,3.509891211281475,3.610013246536255,1.150294797114609,0.0011253806296736002,9.091078758239746
"Emporia, KS",10763,9339,4.7155228122958714,4.420863151550293,1.5986196641345687,2.500420570373535,18.31130599975586
"Enid, OK",24848,21288,3.993669918048476,3.8234955072402954,1.0678127155085206,2.500011920928955,31.683170318603516
"Ennis, TX",6335,5502,4.946650460519517,4.647648334503174,1.5535320527768541,3.001593589782715,24.700185775756836
"Ephraim, UT",1524,962,4.077917304951039,3.8608055114746094,1.1094264626871961,2.5111963748931885,19.49638938903809
"Ephrata, WA",4398,3349,3.7407876726904,3.54625940322876,1.0456026426668954,2.502201795578003,26.56273078918457
"Erie, PA",70376,60148,4.767131971474173,4.495965480804443,1.442163931463987,2.500926733016968,25.651453018188477
