total_buildings,buildings_w_height_measurement,percent_buildings_with_height,min_height,quantile_0.05,mean_height,quantile_0.95,quantile_0.99,max_height,city
8357,6403,0.7661840373339716,2.50100040435791,2.7299490928649903,4.208649225762239,6.069601917266843,7.2392469692230215,12.637022972106934,"Show Low, AZ_buildings"
121524,120944,0.9952272802080248,1.560549280839041e-4,1.7235015273094176,4.365262063427112,7.094146108627317,9.556893939971921,29.803890228271484,"Shreveport, LA_buildings"
3355,1019,0.303725782414307,3.0006520748138428,3.058528017997742,3.796434394042789,5.159952163696287,7.03289410591125,12.108763694763184,"Sidney, MT_buildings"
4011,2901,0.7232610321615557,2.501810312271118,2.647066116333008,3.737628420892562,5.245581150054932,6.723175048828125,29.137985229492188,"Sidney, NE_buildings"
2196,1559,0.7099271402550091,2.5014379024505615,2.6499232769012453,4.075909264505177,6.079955911636352,9.820150032043468,16.108144760131836,"Sidney, NY_buildings"
9083,4805,0.5290102389078498,2.5104331970214844,3.2029081344604493,4.4557923520889045,6.352601909637455,8.626562652587893,27.30907440185547,"Sidney, OH_buildings"
20898,7478,0.35783328548186427,3,3.1440344572067263,4.361964394300817,6.788487243652341,11.156490697860704,26.95612144470215,"Sierra Vista, AZ_buildings"
9057,8005,0.8838467483714254,2.5048229694366455,2.825223064422607,4.265729073358282,6.1938338279724094,8.101265144348146,26.0218563079834,"Sikeston, MO_buildings"
3172,2553,0.8048549810844893,2.5012967586517334,2.7998111724853514,4.367172563584981,6.500513744354248,8.605284042358399,16.178483963012695,"Siler City, NC_buildings"
6982,6648,0.9521627040962475,1.8882175209000707e-4,0.9516800671815873,3.7761942415162846,6.26509597301483,7.728869466781614,15.108057975769045,"Siloam Springs, AR--OK_buildings"
5246,5234,0.9977125428898208,0.0020739715546369553,1.092348670959473,3.6788422460499195,6.294159269332883,8.894871091842651,24.2452335357666,"Silsbee, TX_buildings"
7432,5723,0.770048439181916,2.5006303787231445,2.6918856143951415,4.005947663570312,5.811500167846679,6.755737257003778,10.661404609680176,"Silver City, NM_buildings"
2510,2213,0.8816733067729083,0.027331190183758736,2.2721123695373535,3.942895650346012,5.999534511566164,7.6707636833191035,11.520599365234377,"Silver Creek, NY_buildings"
2554,1937,0.7584181675802663,2.5041980743408203,3.1202047824859616,4.391491110323629,5.494886207580567,5.893840923309325,7.243403911590576,"Silver Lakes, CA_buildings"
5855,5336,0.9113578138343297,2.500793695449829,3.1319807171821594,5.073922234898743,6.844979643821716,8.866498136520367,15.112025260925291,"Silverthorne--Keystone, CO_buildings"
5022,5004,0.996415770609319,0.006556353531777859,1.8589834213256835,4.086385874356851,6.122669124603271,7.483353629112247,13.420820236206056,"Silverton, OR_buildings"
39982,36297,0.9078335250862888,2.5004754066467285,2.8906957626342775,4.360689363226856,6.059021377563476,7.00639810562134,25.479463577270508,"Simi Valley, CA_buildings"
2172,1776,0.8176795580110497,3.003169298171997,3.2211694717407227,4.210411733335203,5.401067614555359,6.205189228057861,8.844210624694824,"Sinton, TX_buildings"
2475,2102,0.8492929292929293,3.0007755756378174,3.4394639253616335,4.859540967006665,7.207605576515192,10.29585214614866,23.388635635375977,"Sioux Center, IA_buildings"
45719,39637,0.8669699687219755,2.50008773803711,2.8238168716430665,4.639870374586549,7.089941120147703,10.081481971740722,31.24260902404785,"Sioux City, IA--NE--SD_buildings"
66614,57638,0.8652535503047407,2.500037908554077,2.9939778208732606,4.871410818437347,6.848460507392883,8.745354852676389,28.19239044189453,"Sioux Falls, SD_buildings"
3288,2567,0.7807177615571776,2.508897066116333,2.733297729492188,3.900507294068227,5.508136415481567,6.863931674957277,11.505256652832031,"Skiatook, OK_buildings"
2669,2279,0.8538778568752342,2.5046815872192383,2.847503662109375,4.905365843268642,7.8126138687133775,10.53397789001464,19.257095336914063,"Skowhegan, ME_buildings"
3681,2534,0.6883998913338767,3.000629425048828,3.1181625604629515,4.296064884529024,5.888997292518615,7.964911284446719,13.355850219726563,"Slatington, PA_buildings"
3149,2045,0.6494125119085424,2.5030338764190674,2.62420392036438,3.5101087277559313,4.812281608581543,6.163518428802485,9.093400955200195,"Slaton, TX_buildings"
39503,39036,0.9881781130547047,2.5119318161159754e-4,0.9620542526245117,3.789601333365156,6.379238963127136,9.469241619110125,25.36144638061523,"Slidell, LA_buildings"
1255,992,0.7904382470119522,3.0019798278808594,3.2087522506713864,4.896067145851351,8.337215852737424,10.5704088497162,15.180230140686035,"Slippery Rock, PA_buildings"
10174,8164,0.8024375860035384,3,3.2025599479675293,4.822036431531939,7.617536306381225,10.442048864364622,17.708860397338867,"Smithfield, NC_buildings"
3741,2689,0.718791766907244,3,3.1964597702026367,5.554747954759069,10.201688003540035,14.030050468444816,19.305307388305664,"Smithfield, VA_buildings"
