NAME20,INTPTLAT20,INTPTLON20,Area
"Kendallville, IN","+41.4433379","-085.2600778",14928433.112999999895692
"Jacksonville, TX","+31.9612280","-095.2613017",27336168.785000000149012
"Manchester, IA","+42.4894820","-091.4585786",9347979.528999999165535
"Pontiac, IL","+40.8798746","-088.6373988",10909324.540999999269843
"Piqua, OH","+40.1512459","-084.2431879",24066034.510000001639128
"McPherson, KS","+38.3688128","-097.6623890",22551154.730999998748302
"Bloomington--Normal, IL","+40.4937711","-088.9789912",131000161.771999984979630
"Webster City, IA","+42.4644858","-093.8250565",11352727.721000000834465
"McGregor, TX","+31.4370084","-097.4068248",6055642.634999999776483
"Iowa Falls, IA","+42.5170994","-093.2659239",10735108.875000000000000
"Detroit Lakes, MN","+46.7829610","-095.8425445",49517225.075999997556210
"Harvard, IL","+42.4222787","-088.6122873",11301829.414000000804663
"Grenada, MS","+33.7653556","-089.8084088",18444821.995000001043081
"Cameron, MO","+39.7439076","-094.2373415",11757802.205000000074506
"Jackson, MS","+32.3276874","-090.1567063",621118708.235999822616577
"Wauseon, OH","+41.5536714","-084.1419994",13206367.847999999299645
"Defiance, OH","+41.2851458","-084.3593704",33390890.852000001817942
"Champaign, IL","+40.1063383","-088.2475660",121473686.295000001788139
"Mahomet, IL","+40.1954541","-088.3879466",17941662.877000000327826
"Rantoul, IL","+40.2973246","-088.1581223",23576746.750000000000000
"Shreveport, LA","+32.4839177","-093.7618052",475046880.827000021934509
"Mansfield, LA","+32.0326631","-093.7030223",10581539.086999999359250
"Decatur, IL","+39.8447144","-088.9346048",150324839.102999985218048
"Highland, IL","+38.7485318","-089.6757855",13860512.998999997973442
"Fort Dodge, IA","+42.5095896","-094.1820895",35777781.824000000953674
"Knoxville, IA","+41.3182506","-093.1060777",9928187.986999999731779
"South Boston, VA","+36.7141654","-078.9102071",16083305.112999999895692
"Willard, OH","+41.0543569","-082.7252510",9338417.055999999865890
"Chillicothe, OH","+39.3461025","-083.0047122",42849287.814000003039837
"Fremont, OH","+41.3482347","-083.1177035",35634551.443000003695488
"Henderson, TX","+32.1586905","-094.8051077",27336977.175000000745058
"Des Moines, IA","+41.6209977","-093.6652328",589312756.185999989509583
"Sterling, IL","+41.7886421","-089.6951755",39457247.759999997913837
"Watertown, WI","+43.1907450","-088.7287120",28080672.282999999821186
"Beaver Dam, WI","+43.4716477","-088.8292696",24376616.484000001102686
"Brunswick, ME","+43.9157366","-069.9106191",73309559.162000000476837
"Forrest City, AR","+35.0130190","-090.7857264",18216175.482999999076128
"Olney, IL","+38.7292160","-088.0854592",15898120.754000000655651
"Independence, IA","+42.4648886","-091.8982695",12588167.669999999925494
"Minden, LA","+32.6034370","-093.2973826",33689100.164999999105930
"Springhill, LA","+32.9732866","-093.4527777",19222368.947999995201826
"Salina, KS","+38.8148878","-097.6149456",58399607.796999998390675
"DeWitt, IA","+41.8207383","-090.5392959",10370238.242000000551343
"Wamego, KS","+39.2071041","-096.3087496",6078545.396999999880791
"Lewiston, ME","+44.0787048","-070.1954802",83551146.527999997138977
"Gainesville, TX","+33.6374404","-097.1389350",24775054.651999998837709
"Van Wert, OH","+40.8681802","-084.5861608",16015862.290999999269843
"Urbana, OH","+40.1095104","-083.7483755",16751907.966000000014901
"Galion, OH","+40.7345722","-082.7903327",16651382.835999999195337
"Wharton, TX","+29.3185689","-096.0915219",12071523.714999999850988
"Floresville, TX","+29.1413098","-098.1566231",9993400.000000000000000
"Chardon, OH","+41.5792893","-081.2090597",13580797.206000000238419
"Corpus Christi, TX","+27.7493588","-097.4172292",338474903.170000016689301
"Abbeville, LA","+29.9686495","-092.0952248",29159639.581000000238419
"Pryor Creek, OK","+36.2837157","-095.3193386",18758692.947000000625849
"Waverly, IA","+42.7271963","-092.4763144",15038116.485999999567866
"Manhattan, KS","+39.1847233","-096.6041633",67078629.224999994039536
"Pacific, MO","+38.4809261","-090.7755537",16028947.802999999374151
"Sparta, MI","+43.1451808","-085.7032793",11147059.483999999240041
"Atoka, TN","+35.4361761","-089.7772089",25777854.892999999225140
"Delano, MN","+45.0376440","-093.7879478",8010945.030000000260770
"East Aurora, NY","+42.7701899","-078.6158114",15113863.385999998077750
"Village of Four Seasons, MO","+38.2013856","-092.7288332",53224811.549000002443790
"Saginaw, MI","+43.4359426","-083.9691635",173480407.455000013113022
"Fort Wayne, IN","+41.0976193","-085.1474337",424398366.890999972820282
"Hays, KS","+38.8791770","-099.3197099",25224976.236999999731779
"Milan, MI","+42.0848888","-083.6782512",9000700.221999999135733
"Toledo, OH--MI","+41.6367090","-083.6088822",643741458.758000016212463
"Russell, KS","+38.8894644","-098.8573723",5903538.298000000417233
"Donaldsonville, LA","+30.1090996","-090.8926649",42035957.340000003576279
"Bay City, MI","+43.6086671","-083.8904136",106372133.718999996781349
"Lansing, MI","+42.7211908","-084.5402649",412275124.134000003337860
"Durand, MI","+42.9196388","-083.9918753",9914519.154999999329448
"North Manchester, IN","+41.0067271","-085.7725954",7508740.769999999552965
"Madisonville, KY","+37.3317066","-087.4974109",42042166.016000002622604
"Charles City, IA","+43.0620578","-092.6712709",10754621.376000000163913
"Iron Mountain--Kingsford, MI--WI","+45.8076217","-088.0412597",34743481.427000001072884
"DeKalb, IL","+41.9488743","-088.7236293",67014365.719999998807907
"Eaton Rapids, MI","+42.5114205","-084.6544263",7411460.743000000715256
"Emporia, KS","+38.4095790","-096.1945187",29185038.349999997764826
"Denton--Lewisville, TX","+33.1949708","-097.1210538",394658802.179000020027161
"Coffeyville, KS--OK","+37.0339688","-095.6288236",19269805.980999998748302
"Wichita, KS","+37.6834601","-097.3256629",600669335.041000008583069
"Portland, MI","+42.8756578","-084.9114335",11273444.440999999642372
"Yoakum, TX","+29.2895320","-097.1485952",8161948.850999999791384
"Albion, MI","+42.2495806","-084.7553508",12287720.080000000074506
"Maysville, KY--OH","+38.6469437","-083.7809860",27115286.673999998718500
"Greenville, MI","+43.1802849","-085.2647726",17519481.366999998688698
"Hillsboro, OH","+39.2084802","-083.6132976",12503741.269999999552965
"Pocahontas, AR","+36.2677875","-090.9764330",13019663.520999999716878
"Searcy, AR","+35.2403012","-091.7232573",55380124.777999997138977
"Maryville, MO","+40.3425812","-094.8736621",14553006.888000000268221
"Byron, MN","+44.0370877","-092.6402628",7995586.930999999865890
"Boonville, MO","+38.9614386","-092.7462034",15141823.385999999940395
"Elizabethtown--Radcliff, KY","+37.8737537","-085.9492648",145886738.960999995470047
"Marietta, OH--WV","+39.4169130","-081.4392702",36697041.076999999582767
"Walden, NY","+41.5210806","-074.2141839",30177401.293999996036291
"Worth--Lexington, MI","+43.2679077","-082.5301072",10908467.720000000670552
"Henderson, KY","+37.8366658","-087.5801044",39791316.709999993443489
"Beaver Dam, KY","+37.4066824","-086.8764699",8836317.831000000238419
"Hazard, KY","+37.2645219","-083.2017189",20846028.857999999076128
"Three Rivers, MI","+41.9514539","-085.6214448",24216933.747999999672174
"Paw Paw, MI","+42.2316256","-085.8919984",15562792.382999997586012
"Carthage, TX","+32.1573823","-094.3441653",19337830.806000005453825
"St. Cloud, MN","+45.5678897","-094.1961974",144149368.951999992132187
"Barnstable Town, MA","+41.6270720","-070.6166101",974181608.421000003814697
"Sanford, ME","+43.4359506","-070.7642656",15832097.845000000670552
"Milan, TN","+35.9131733","-088.7596621",15535969.307000000029802
"Tomah, WI","+43.9880103","-090.5013800",18091702.905999999493361
"Prairie du Sac--Sauk City, WI","+43.2837590","-089.7321439",7452993.559999999590218
"Princeton, MN","+45.5682149","-093.5902541",10943246.046000000089407
"Greenville, OH","+40.1047085","-084.6214501",17390153.260999999940395
"Duluth, MN--WI","+46.7665144","-092.1277932",185981703.923999994993210
"Jordan, MN","+44.6646297","-093.6402224",7799292.622999999672174
"Circleville, OH","+39.6051292","-082.9373564",19126340.057999998331070
"Charlestown, RI","+41.3832053","-071.6234808",19661094.397999998182058
"Royse City, TX","+32.9789073","-096.3244108",15963522.419999999925494
"Laplace--Lutcher--Gramercy, LA","+30.0580678","-090.5731808",81341930.061000019311905
"Glenwood, MN","+45.6544800","-095.4084145",10924500.467000000178814
"Big Lake, MN","+45.3399481","-093.7452085",16175189.044999999925494
"Stillwater, MN--WI","+45.0368561","-092.8263367",43523123.943999998271465
"Hayes, MI","+44.0163503","-084.7957069",9195280.517000000923872
"Grafton--Port Washington--Cedarburg, WI","+43.3361119","-087.9485699",60787805.271999999880791
"Tippecanoe, IN","+41.2857874","-085.7150981",16826975.458000000566244
"Kansas City, MO--KS","+39.0412437","-094.6063588",1870927702.871000051498413
"Bryan, OH","+41.4702888","-084.5474433",13164889.148000001907349
"McKenzie, TN","+36.1364927","-088.5135515",11399232.528999999165535
"Lufkin, TX","+31.3307891","-094.7322702",95723684.531000003218651
"Rockport, TX","+28.0652867","-097.0498345",50988624.788000009953976
"New Bedford, MA","+41.6649199","-070.9376742",166554987.842999994754791
"Sioux City, IA--NE--SD","+42.4781904","-096.4003342",144836613.557999998331070
"Brandon, SD","+43.5933293","-096.5808529",11997859.246999999508262
"Lampasas, TX","+31.0665468","-098.1838772",10164955.717000000178814
"Mexia, TX","+31.6782863","-096.4786951",11715328.634999999776483
"Port Lavaca, TX","+28.6181670","-096.6308098",27276320.379999998956919
"Green Bay, WI","+44.5024596","-088.0398863",301750563.152000010013580
"Manitowoc, WI","+44.1124813","-087.6546513",63483222.273000001907349
"St. Johnsbury, VT","+44.4235708","-072.0154449",8594124.077999999746680
"Burlington, VT","+44.4701469","-073.1522619",163197054.363999992609024
"Portage, WI","+43.5495653","-089.4698055",13996031.563999999314547
"Allendale, MI","+42.9641588","-085.9292006",27470373.293999999761581
"Jefferson, WI","+43.0077845","-088.8090272",12673372.164999999105930
"Conway, NH","+44.0357185","-071.1172323",23439744.495999999344349
"Lincoln, NH","+44.0607245","-071.6708625",13206668.942999999970198
"Bluffton, IN","+40.7514433","-085.1622212",17043693.662000000476837
"Davenport, IA--IL","+41.5231981","-090.5144797",369031448.621999979019165
"Huntington, IN","+40.8845724","-085.4967225",25892144.453999999910593
"Auburn, IN","+41.3615570","-085.0759740",25597826.030999999493361
"Hammond, LA","+30.4848272","-090.4764540",198695980.131000012159348
"Indianapolis, IN","+39.8150380","-086.1440681",1897269833.456000089645386
"Greencastle, IN","+39.6418405","-086.8463394",12456511.400000000372529
"Shenandoah, IA","+40.7594085","-095.3734549",7743076.440999999642372
"Peru, IN","+40.7491332","-086.0837758",16995142.875999998301268
"Tipton, IN","+40.2821393","-086.0414814",6274214.557000000029802
"Natchez, MS--LA","+31.5576763","-091.4049040",58029304.424000002443790
"Lafayette, LA","+30.1904502","-092.0330568",418005280.810999989509583
"Jeanerette, LA","+29.9176166","-091.6749751",7487637.048000000417233
"Cleburne, TX","+32.3483580","-097.4076710",63946416.774999998509884
"Roanoke, VA","+37.2953202","-079.9633994",327089963.695999979972839
