"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","ndvi_estimate","ndvi_std_error","ndvi_p_value","weight","weight_normalized"
"Sequim, WA","Model7",28924.3039802189,0.527045829217504,0.483999088396151,0.117187760110673,0.152429505333016,0.44204856441628,-0.196962797906347,0.0318584524411887,6.8139770427994e-10,0.528193778996955,0.0969180409886267,5.28177214107058e-08,0.953114399727054,0.487870813878892
"Sheboygan, WI","Model1",10735.4908099089,0.509253561821164,0.445655231748958,-0.317681402712756,0.231739776541261,0.170594366718241,NA,NA,NA,NA,NA,NA,1.62249925062032e-06,1.51837349708864e-06
"Sheboygan, WI","Model2",10718.4453885673,0.508109267716511,0.450951753061733,-0.593767246841345,0.233748008804795,0.0111637520071291,-0.216757282221301,0.0447571419394629,1.39066011502873e-06,NA,NA,NA,0.0081573804938575,0.00763387122848017
"Sheboygan, WI","Model3",10722.2118249085,0.500397328029769,0.449355579144031,NA,NA,NA,-0.187575183247406,0.0433111737450999,1.56844780151006e-05,NA,NA,NA,0.00124073621962103,0.00116111054721921
"Sheboygan, WI","Model4",10732.1516641261,0.507643305162883,0.446650714360285,NA,NA,NA,NA,NA,NA,1.09363722860549,0.475839574744869,0.0216590594019317,8.61530781196789e-06,8.06241053482861e-06
"Sheboygan, WI","Model5",10714.4828993274,0.503704331216198,0.452299224897141,NA,NA,NA,-0.202149028781198,0.0434260828594688,3.48092034572903e-06,1.35553991850806,0.468393370533496,0.00385005539036346,0.0591553905288412,0.0553590253767949
"Sheboygan, WI","Model6",10731.2648982518,0.511885337561264,0.447469204025802,-0.349931761425352,0.231267879667268,0.130432626034124,NA,NA,NA,1.14094556080879,0.476800074330748,0.0168185673595497,1.34223809827655e-05,1.2560984261944e-05
"Sheboygan, WI","Model7",10708.8277242084,0.512170376472469,0.454499953894888,-0.65887438226312,0.234131024474133,0.00494517518023832,-0.234622549492421,0.0449156000712281,1.96206966116007e-07,1.4799256571769,0.46812108776489,0.00159667889786776,1,0.935823851079212
"Shreveport, LA","Model1",7251.40599483729,0.30075257750585,0.235022524708174,0.836918329167407,0.143057925664717,6.31744033090506e-09,NA,NA,NA,NA,NA,NA,0.0187858354018423,0.012849831770024
"Shreveport, LA","Model2",7245.80029059179,0.300668337161145,0.239598633455105,0.846874793254979,0.143127970289553,4.27012399471374e-09,-0.0704733059438906,0.0236267783193566,0.00291396374396099,NA,NA,NA,0.309808781266201,0.211914489560387
"Shreveport, LA","Model3",7271.40374069443,0.284137272904123,0.222636571130331,NA,NA,NA,-0.0676434168945634,0.0235414546231437,0.00413226341033314,NA,NA,NA,8.53837401403771e-07,5.84039343063601e-07
"Shreveport, LA","Model4",7277.76654226959,0.280123417315217,0.218655801782103,NA,NA,NA,NA,NA,NA,0.142640458331426,0.228416221942032,0.532433006698663,3.54576842167968e-08,2.42536606647683e-08
"Shreveport, LA","Model5",7273.17421542009,0.283409754808059,0.222676191111752,NA,NA,NA,-0.066784622652208,0.0238266830044682,0.00514511308253947,0.0556618821570434,0.23149627319347,0.810026965198704,3.52307162685203e-07,2.4098410717659e-07
"Shreveport, LA","Model6",7247.48615668717,0.303542482211144,0.23866250795517,0.968449519764534,0.155317975545019,6.22779191231019e-10,NA,NA,NA,0.636440765079839,0.25155203926246,0.0115309842328792,0.133355997447054,0.0912177763758297
"Shreveport, LA","Model7",7243.4566905789,0.304937954013103,0.242210868738672,0.961229387274925,0.155563738652308,8.81172292425479e-10,-0.0626744446617568,0.0240086580822296,0.00915344407324675,0.553799793818292,0.255289884339211,0.0302552558261497,1,0.684017053016649
"Silverthorne--Keystone, CO","Model1",3160.62051746856,0.1893398906383,0.195521971662291,0.857557494538641,0.372065907398712,0.0215112343859531,NA,NA,NA,NA,NA,NA,1,0.345296907300803
"Silverthorne--Keystone, CO","Model2",3161.20369324417,0.190447451616605,0.198071542380062,0.933244179213554,0.386738409825493,0.0161126571226156,0.0376996455366884,0.0742683794974335,0.611909038584795,NA,NA,NA,0.747076351816673,0.257963153799864
"Silverthorne--Keystone, CO","Model3",3168.87098304805,0.179810228679312,0.181912222509331,NA,NA,NA,-0.0156291286317982,0.0682222475201031,0.818874838689594,NA,NA,NA,0.0161597323303026,0.00557990559646227
"Silverthorne--Keystone, CO","Model4",3168.91755264386,0.179303885295504,0.18197295785459,NA,NA,NA,NA,NA,NA,0.582476117131224,1.00021592256414,0.560546280569242,0.0157878031805856,0.00545147961133
"Silverthorne--Keystone, CO","Model5",3170.28231733189,0.178315992020494,0.182593608912453,NA,NA,NA,-0.00728575446350966,0.0695122984221144,0.916559201813539,0.556060699784178,1.02312233988609,0.586989069771162,0.00797933717564749,0.0027552404490614
"Silverthorne--Keystone, CO","Model6",3161.65163260315,0.187798997356944,0.196654106430652,0.870917791971524,0.374456410321913,0.0203571827710871,NA,NA,NA,0.566880090481541,1.07404184272859,0.597830780032173,0.597167540684251,0.206200104938698
"Silverthorne--Keystone, CO","Model7",3161.95981785163,0.189039146834078,0.199596675424728,0.965853287169835,0.389704508717207,0.0134680887247354,0.0492797257908026,0.0757362258187578,0.515502909872424,0.701051817410375,1.11151272586941,0.528462733873089,0.511887609088267,0.176753208303781
"Sioux Falls, SD","Model1",6821.9066896439,0.347470717573152,0.332129174357563,-0.335853670655456,0.204412264711768,0.100637828052356,NA,NA,NA,NA,NA,NA,0.8267994204621,0.20150825195028
"Sioux Falls, SD","Model2",6821.52630333966,0.346894579445359,0.33287816068697,-0.29654352395761,0.206045313279492,0.150347811364091,-0.0722938718502254,0.0392410960612419,0.0656754374178095,NA,NA,NA,1,0.243720843245943
"Sioux Falls, SD","Model3",6821.97133258963,0.348443771312478,0.331606622754983,NA,NA,NA,-0.0781130531599911,0.0387696310249369,0.0441459398626445,NA,NA,NA,0.800503299315672,0.195099339130375
"Sioux Falls, SD","Model4",6824.08456625525,0.348830101748455,0.330916543123488,NA,NA,NA,NA,NA,NA,-0.0791932321524763,0.540649036140362,0.883568341342862,0.278278892484622,0.0678223663338991
"Sioux Falls, SD","Model5",6823.40166991623,0.348327252807204,0.331780884832836,NA,NA,NA,-0.0782902495920251,0.0389364287156197,0.0445761958742947,-0.106634662400639,0.539466561996719,0.8433388635812,0.391533856532239,0.0954249616733734
"Sioux Falls, SD","Model6",6823.58114269825,0.346866271830935,0.332153691053339,-0.338734904676308,0.205866898319282,0.100145196077841,NA,NA,NA,0.049920764701875,0.54344335123508,0.926824371105649,0.357929342530112,0.087234841183905
"Sioux Falls, SD","Model7",6823.13218239664,0.346438459243345,0.33294393451849,-0.297083647718911,0.207841211665369,0.153153520643553,-0.0722353873032884,0.039447636672338,0.0673205148549154,0.00476310958892155,0.543712024436078,0.993011781318362,0.448010088214076,0.109189396482224
"Sonoma, CA","Model1",4405.63310459123,0.635734016509811,0.518708611409813,1.00115639276874,0.370717283204823,0.00706956250093398,NA,NA,NA,NA,NA,NA,0.13322270473684,0.0399952758401955
"Sonoma, CA","Model2",4402.38898217965,0.628108490299984,0.521217334189325,0.390482527891778,0.412804133717066,0.344474880664656,-0.312186352874883,0.113011909643636,0.00587067835176432,NA,NA,NA,0.674575365896745,0.202516739825507
"Sonoma, CA","Model3",4401.94055782,0.614033768735796,0.520458690956764,NA,NA,NA,-0.367350190682188,0.0998115826137418,0.000248617880501852,NA,NA,NA,0.844120777092077,0.253416588327994
"Sonoma, CA","Model4",4413.28675164026,0.61532197570633,0.514508886237684,NA,NA,NA,NA,NA,NA,0.266972718653656,0.697409669710091,0.701966288298773,0.00290141536563329,0.000871044527317687
"Sonoma, CA","Model5",4403.36178206448,0.569760891410638,0.520245963475138,NA,NA,NA,-0.430413106949431,0.101058553205615,2.29984089357961e-05,1.34330852998608,0.698203583645757,0.0547193722509513,0.414753124682905,0.124514553731986
"Sonoma, CA","Model6",4404.28514003099,0.627967754843471,0.519910567181762,1.75470303703466,0.463125879870544,0.000162850480551794,NA,NA,NA,2.31300308489398,0.876538728603671,0.00848391972257924,0.261387630450629,0.0784721373262813
