"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","weight_normalized"
"Eau Claire, WI","Model4",12650.6910199107,0.249160424584863,0.221997038138899,NA,NA,NA,NA,NA,NA,0.375308543554707
"El Paso de Robles (Paso Robles)--Atascadero, CA","Model6",10166.0884967109,0.489219890801645,0.362041537879212,-0.774616534991206,0.173067445400062,8.17202751631222e-06,NA,NA,NA,0.451481403027213
"El Paso, TX--NM","Model2",26522.7090859687,0.44357301655496,0.392595994567804,-0.224657694356997,0.0946656944258617,0.017678441321231,-0.0363473972040009,0.00779859235004151,3.24251602516508e-06,0.384769912037711
"Elkhart, IN--MI","Model7",19271.6139746784,0.384476674178902,0.328911865788874,-0.279779705394601,0.0698894299499102,6.38271495794814e-05,-0.037724139204455,0.0238692913221686,0.114097309915504,0.519847686631656
"Elmira, NY","Model1",14307.6201764234,0.177827220036346,0.166831545586108,-0.987735700419618,0.163934153164196,1.92330086465316e-09,NA,NA,NA,0.4163309469939
"Erie, PA","Model6",33011.501357545,0.238448753893533,0.200783560790415,0.444903880533,0.143439558539552,0.00193362449740692,NA,NA,NA,0.716022696540998
"Estes Park, CO","Model1",9950.83256088305,0.389699734858333,0.378876661388925,-0.602649379130887,0.186380385416057,0.00124348358381629,NA,NA,NA,0.553561549240193
"Eugene, OR","Model7",215273.999169152,0.365675003007182,0.273268602462062,-0.611509626711717,0.0494940998662866,5.20486845877268e-35,-0.0677738306729106,0.00851127358631291,1.7206482859463e-15,0.999999999999633
"Eureka, CA","Model6",10673.2759102906,0.355782294883891,0.285061780826314,-1.02739955850518,0.332848239648083,0.00205475124793026,NA,NA,NA,0.549225615667236
"Evansville, IN","Model6",36043.1934405077,0.425448283104693,0.374406460338022,-0.269569841912657,0.0842742502155526,0.00138749681108509,NA,NA,NA,0.41236671680047
"Exeter, NH","Model4",2271.92920712779,0.400807987029302,0.415053353036358,NA,NA,NA,NA,NA,NA,0.31085552175223
"Fayetteville--Springdale--Rogers, AR--MO","Model6",32672.839775355,0.332337577388937,0.249859356871627,0.87773886901915,0.0950901179478951,3.77777538882294e-20,NA,NA,NA,0.596360657931502
"Fenton, MI","Model6",4703.63242174812,0.336390599585004,0.38914197516304,-0.175770765584563,0.209752957340818,0.402281329053389,NA,NA,NA,0.37858241587346
"Findlay, OH","Model1",4395.55573084504,0.412465200612091,0.354797502339638,-0.917616553818708,0.271980354483372,0.000780383697543223,NA,NA,NA,0.359643500489843
"Flint, MI","Model7",9579.32106620958,0.342508370590717,0.277459231053066,-0.542790043399893,0.174562501546808,0.001908362623433,-0.0860177844573989,0.0263235114923363,0.00110774844784052,0.909511320623048
"Florence, OR","Model3",4314.93076172097,0.330733376212877,0.280415218303247,NA,NA,NA,-0.0652317431510519,0.109015356986483,0.549782389013898,0.310050340806225
"Fond du Lac, WI","Model3",7088.07356713873,0.421206644824592,0.33953941511927,NA,NA,NA,-0.0670582732525562,0.0405729747581705,0.0986370874352903,0.298471306022634
"Fort Collins, CO","Model2",69397.6181642636,0.318165469367947,0.243587928477733,-1.03495906805138,0.0331637299838935,2.223722923219e-206,-0.0194105430729163,0.00863494204347814,0.0245985123290952,0.416368817224157
"Fort Smith, AR--OK","Model5",4976.99517541053,0.454187109892697,0.39516712408491,NA,NA,NA,0.145089222581129,0.0474861905766625,0.00231582892632177,0.485619531601102
"Fort Wayne, IN","Model7",11974.7657143191,0.249813419868515,0.240463761730896,-0.826263676828697,0.115720264310703,1.286773154317e-12,-0.0747781643071664,0.0261222767153236,0.00424399718317106,0.80650374577339
"Frankfort, MI","Model4",2982.47892151835,0.426048544281036,0.396703844699371,NA,NA,NA,NA,NA,NA,0.546334053352829
"Fraser, CO","Model1",1055.41272506259,0.400105574019317,0.388345153090855,-0.963939029660729,0.471286348020279,0.0421425333694286,NA,NA,NA,0.260570941082793
"Freeland, WA","Model6",5472.43535701032,0.291116958038919,0.298646103257651,1.05917084470009,0.460373492758023,0.0216411781211341,NA,NA,NA,0.558857636445475
"Fremont, NE","Model7",16613.1047452302,0.0707681963849942,0.0747839000041742,-4.41308030344869,1.62869633190917,0.00677266268027506,-0.502258010304889,0.136827726595343,0.000245791970212883,0.931428965005577
"Galveston--Texas City, TX","Model7",26559.5088121762,0.235369593019733,0.270353977646387,-0.945797238986529,0.105299538854516,3.74225430742776e-19,0.0142494840945809,0.0070749360823893,0.0440565373090664,0.817985030474973
"Geneva, NY","Model3",7284.57824113705,0.245705728134507,0.20483408674407,NA,NA,NA,0.0317542883361971,0.0305339104241385,0.298555273266078,0.442882178939165
"Glens Falls, NY","Model7",4316.705866567,0.239812642367907,0.218134058541665,1.36900648891209,1.12279943475194,0.223113392572094,-0.114480802143582,0.0457597154124087,0.0125645397111495,0.324584848591469
"Glenwood Springs, CO","Model4",1505.7698152512,0.249840784496447,0.279564103560598,NA,NA,NA,NA,NA,NA,0.398706505327955
