NAME20,INTPTLAT20,INTPTLON20,Area,Building_Data_Present
"Prairie du Chien, WI--IA",43.0511684,-91.1402778,14738286.45,FALSE
"Edenton, NC",36.0716055,-76.6170433,9466004.351,FALSE
"Oswego, NY",43.4472985,-76.492817,30835553.16,FALSE
"Elizabeth City, NC",36.298233,-76.2263969,42766762.79,FALSE
"Massena, NY",44.9337488,-74.8861138,16832282.74,FALSE
"Warrensburg, MO",38.7644246,-93.7302318,22001235.93,FALSE
"Salem, MO",37.639331,-91.5360225,8161230.64,FALSE
"Altus, OK",34.6570606,-99.3090458,41085849.33,FALSE
"Keystone Heights, FL",29.7883677,-82.0317588,29708334.02,FALSE
"Clarksdale, MS",34.2002919,-90.5737996,19220432.01,FALSE
"Winchester, TN",35.1949177,-86.0924645,34014391.41,FALSE
"Anderson, IN",40.0862465,-85.676223,135515898.1,FALSE
"Larned, KS",38.1831803,-99.1017706,5396214.149,FALSE
"Great Bend, KS",38.3659012,-98.7789574,16432851.2,FALSE
"Atchison, KS",39.5657982,-95.1328395,14062905.61,FALSE
"Muncie, IN",40.1981116,-85.4072443,125492604,FALSE
"Arecibo, PR",18.454313,-66.8100618,195774171.9,FALSE
"Fajardo, PR",18.3362302,-65.6560063,89572894.77,FALSE
"Coamo, PR",18.0627866,-66.3789685,42144706.88,FALSE
"Diamondhead, MS",30.3943334,-89.3655061,13346862.13,FALSE
"Columbia, MS",31.2552517,-89.8196805,16373406.16,FALSE
"Blytheville, AR",35.931893,-89.9174585,37636439.02,FALSE
"Quincy, FL",30.5809442,-84.5802405,15939645.99,FALSE
"Crestview, FL",30.7675349,-86.5603043,104994406,FALSE
"DeFuniak Springs, FL",30.7337433,-86.1303412,19260909.53,FALSE
"Albany, GA",31.5865053,-84.172328,174157976.2,FALSE
"Ashburn, GA",31.6969051,-83.6471356,11108178.39,FALSE
"Cushing, OK",35.9610024,-96.7571943,24147183.12,FALSE
"West Point, MS",33.6083885,-88.6486179,17053025.13,FALSE
"Fayetteville, TN",35.111264,-86.5718377,32205672.99,FALSE
"Berlin, WI",43.9706391,-88.9473678,8980985.062,FALSE
"Cadillac, MI",44.2511753,-85.4199526,33172162.81,FALSE
"Anamosa, IA",42.1100519,-91.2738602,6863773.152,FALSE
"Greenville, AL",31.8340255,-86.627146,14521149.17,FALSE
"Waterville, ME",44.5514214,-69.6541625,47049680.79,FALSE
"Dansville, NY",42.5639462,-77.7031753,8275503.936,FALSE
"Stephenville, TX",32.2190189,-98.2189288,24232491.41,FALSE
"Napoleon, OH",41.3950945,-84.1260902,16698571.84,FALSE
"Sikeston, MO",36.8853828,-89.5707144,34089457.21,FALSE
"Marion, VA",36.8420915,-81.5019607,18640455.63,FALSE
"Jonesboro, AR",35.8229036,-90.6864275,120781677.4,FALSE
"Plymouth, NH",43.7589951,-71.6894381,15751850.02,FALSE
"Little Falls, MN",45.9798003,-94.3591475,20309502.84,FALSE
"Ishpeming, MI",46.497317,-87.6634526,15316752.88,FALSE
"Somerset, PA",40.0122838,-79.076271,17897699.77,FALSE
"Ste. Genevieve, MO",37.9702572,-90.0508495,8131028.714,FALSE
"Johnstown, OH",40.1510283,-82.6846058,7410520.779,FALSE
"Marshall, MO",39.1138755,-93.1990586,17836529.92,FALSE
"Franklin (Venango County), PA",41.3941197,-79.8334732,14638533.58,FALSE
"Dexter, MO",36.7926878,-89.9737916,20300573.66,FALSE
"Hope, AR",33.6654626,-93.591694,20539550.15,FALSE
"Salem, NJ",39.5676977,-75.4795494,8139649.826,FALSE
"Grand Forks, ND--MN",47.9146159,-97.0665665,68832364.98,FALSE
"Manteo, NC",35.9241693,-75.7032303,13813973.67,FALSE
"Eldon, MO",38.3502379,-92.5768704,8645179.33,FALSE
"Sedalia, MO",38.6992307,-93.2433552,44327036.42,FALSE
"Fredericktown, MO",37.5587199,-90.2949038,8482321.198,FALSE
"Duncan, OK",34.5096085,-97.9626314,35417820.86,FALSE
"Burkburnett, TX",34.083141,-98.5684949,16787734.35,FALSE
"Raymondville, TX",26.4448972,-97.7855496,14713922.77,FALSE
"Abilene, TX",32.4257902,-99.7498804,161525617.8,FALSE
"Port Isabel--South Padre Island--Laguna Vista, TX",26.0654291,-97.2057015,19923433.14,FALSE
"Guthrie, OK",35.8722282,-97.419973100000007,17702163.5,FALSE
"Kaufman, TX",32.57974,-96.3053987,7957381.047,FALSE
"Terrell, TX",32.7356473,-96.2949701,31875718.64,FALSE
"Franklin, NC",35.177893,-83.3807705,36993279.59,FALSE
"Lake Placid, NY",44.2811785,-73.9828785,9504886.978,FALSE
"Berryville, AR",36.3691659,-93.5632626,10832200,FALSE
"Ravena--Bethlehem, NY",42.5429825,-73.810021,30532318.13,FALSE
"Ferriday, LA",31.6260583,-91.5592913,12525967.56,FALSE
"Jonesboro, LA",32.250358,-92.7121309,14922999.78,FALSE
"New Orleans, LA",29.9450124,-90.1163183,676687423.6,FALSE
"Tallulah, LA",32.4066798,-91.1876137,9703650.957,FALSE
"Albertville, AL",34.2694681,-86.2173729,90857243.61,FALSE
"New Roads, LA",30.685535,-91.457789,31320097.27,FALSE
"Arab, AL",34.3303575,-86.500846,22800445.26,FALSE
"Beatrice, NE",40.2742977,-96.7445517,22678467.77,FALSE
"Opelousas, LA",30.5314189,-92.0826418,48209313.63,FALSE
"Mandeville--Covington, LA",30.4336769,-90.1070663,222868986.6,FALSE
"Georgetown, KY",38.2134222,-84.550322,39401637.48,FALSE
"Lexington-Fayette, KY",38.0262787,-84.4964076,219623099.7,FALSE
"Camden, ME",44.2080872,-69.0765021,10839787.78,FALSE
"Winnfield, LA",31.9260801,-92.641721,11536283.29,FALSE
"Frankfort, KY",38.1882281,-84.859577,59166598.44,FALSE
"Charlestown, IN",38.445253,-85.665576,10465548.84,FALSE
"Millinocket, ME",45.6528251,-68.6985532,8673033.214,FALSE
"Washington, IN",38.6532007,-87.1666545,17688124.04,FALSE
"Plattsmouth, NE",41.0062358,-95.8930875,7773514.46,FALSE
"Russellville, AL",34.5075145,-87.7270456,18035808.32,FALSE
"Meridian, MS",32.383907,-88.7037557,76766319.31,FALSE
"Opp, AL",31.2779519,-86.255483,13654446.46,FALSE
"Brookhaven, MS",31.5861258,-90.4456305,26048894.01,FALSE
"Grand Island, NE",40.9248409,-98.3569721,77360591.12,FALSE
"Columbus, MS",33.5152086,-88.4026265,52735644.8,FALSE
"Bremen, GA",33.7159271,-85.1423963,19125368.32,FALSE
"Batesville, MS",34.3193317,-89.9411203,16264241.71,FALSE
"Fairbury, NE",40.1447383,-97.1765035,6122868.416,FALSE
"Pratt, KS",37.6473691,-98.73189,9493556,FALSE
"Seymour, IN",38.9492679,-85.8862605,37297136.79,FALSE
"Lincoln, NE",40.8089549,-96.6789437,246890674.1,FALSE
"Brewton, AL",31.1057358,-87.0691159,16260514.57,FALSE
"Moberly, MO",39.4212028,-92.4350333,29622267,FALSE
"Newport, AR",35.616391900000004,-91.2592533,11914441.12,FALSE
"Bedford, VA",37.3391416,-79.5249041,22241929.06,FALSE
"Buena Vista, VA",37.7360151,-79.3526777,10480108.04,FALSE
"Pine Bluff, AR",34.232697,-92.048981,116390842.1,FALSE
"Lincolnton, NC",35.4812995,-81.229294,73926419.63,FALSE
"Oxford, NC",36.309684,-78.5838517,17231815.18,FALSE
"Camdenton, MO",38.0046725,-92.7752672,22974334.98,FALSE
"Marion, NC",35.681507,-82.0144424,35462006.19,FALSE
"Galax, VA",36.6656397,-80.9143083,17214103.75,FALSE
"Franklin, LA",29.7971873,-91.5051051,16207004.61,FALSE
"Elk City, OK",35.4085021,-99.4078179,23342391.17,FALSE
"Hillsboro, TX",32.0145234,-97.1128234,15461760.64,FALSE
"El Dorado, KS",37.8193514,-96.8662482,19313070.4,FALSE
"Granbury, TX",32.4144885,-97.7800015,61379721.3,FALSE
"Mount Vernon, IN",37.9299299,-87.9012867,12596357.24,FALSE
"Warrenton, MO",38.8160932,-91.1414105,15837664.32,FALSE
"Lake Pocotopaug, CT",41.5879397,-72.5060765,21948216.72,FALSE
"Elkhart, IN--MI",41.6623383,-85.9244955,253978458.4,FALSE
"Bowling Green, OH",41.3740214,-83.6512303,29577779.73,FALSE
"Arkansas City, KS",37.0656141,-97.0405278,17694799.73,FALSE
"Winfield, KS",37.2364745,-96.9842844,18129758.79,FALSE
"Marshall, TX",32.5373136,-94.3591816,41922079.93,FALSE
"Little Falls, NY",43.0455747,-74.8575164,8992014.836,FALSE
"Clarksville, AR",35.4681804,-93.4692898,20301773.33,FALSE
"Cobleskill, NY",42.6753868,-74.492367,11224646.52,FALSE
"Blackwell, OK",36.8002341,-97.291627,9973450.353,FALSE
"Corinth, NY",43.2408636,-73.8337105,8082346.868,FALSE
"Honesdale, PA",41.5625546,-75.2481139,10852873.99,FALSE
"Oneonta, NY",42.4516115,-75.0711057,18706396.78,FALSE
"Sulphur Springs, TX",33.1294707,-95.604118,28528039.21,FALSE
"Skiatook, OK",36.3635873,-96.016738899999993,10839036.29,FALSE
"Commerce, TX",33.2441468,-95.9015861,8713381.21,FALSE
"Shawnee, OK",35.339962,-96.9229468,49037121.16,FALSE
"Chittenango, NY",43.0511327,-75.8824126,5605432.303,FALSE
"Norwich, NY",42.5345679,-75.5188224,7786490.341,FALSE
"Huntsville, TX",30.7148051,-95.5466413,44763329.66,FALSE
"Hempstead, TX",30.0949854,-96.0756408,7847045.683,FALSE
"Lake Conroe Eastshore, TX",30.427141,-95.57647,20144989,FALSE
"Cleveland, TX",30.3441944,-95.0804929,11761150.46,FALSE
"Sulphur, OK",34.511413,-96.9775502,8560650.364,FALSE
"Monticello, IN",40.7609387,-86.7617725,34148919.4,FALSE
"Washington, NC",35.5440597,-77.0396328,43401508.32,FALSE
