NAME20,INTPTLAT20,INTPTLON20,Area,,,,,,,,,,,,,,,,,,,,,,
"Oneonta, AL",+33.9410391,-086.4657320,11327421.19,,,,,,,,,,,,,,,,,,,,,,
"Ponce, PR",+18.0187419,-066.6264235,82634452.67,,,,,,,,,,,,,,,,,,,,,,
"Columbus, IN",+39.2390255,-085.9228840,72997423.28,,,,,,,,,,,,,,,,,,,,,,
"Crowley, LA",+30.2138037,-092.3766950,18367076.14,,,,,,,,,,,,,,,,,,,,,,
"Rayne, LA",+30.2377819,-092.2622971,12315536.42,,,,,,,,,,,,,,,,,,,,,,
"Caro, MI",+43.4954669,-083.3901959,11767018.68,,,,,,,,,,,,,,,,,,,,,,
"Hartford City, IN",+40.4532280,-085.3717839,9170521.569,,,,,,,,,,,,,,,,,,,,,,
"Wabash, IN",+40.7992101,-085.8286671,15568474.01,,,,,,,,,,,,,,,,,,,,,,
"Muscatine, IA",+41.4201290,-091.0698399,41642084.95,,,,,,,,,,,,,,,,,,,,,,
"Mount Pleasant, IA",+40.9655726,-091.5462147,17755323.6,,,,,,,,,,,,,,,,,,,,,,
"Lebanon, IN",+40.0503473,-086.4741941,21653538.47,,,,,,,,,,,,,,,,,,,,,,
"Kokomo, IN",+40.4671077,-086.1382527,84173242.6,,,,,,,,,,,,,,,,,,,,,,
"Crawfordsville, IN",+40.0411434,-086.9036428,25383709.02,,,,,,,,,,,,,,,,,,,,,,
"Clarinda, IA",+40.7380131,-095.0389085,6107156.258,,,,,,,,,,,,,,,,,,,,,,
"St. Joseph, MO--KS",+39.7613104,-094.8347327,115984309.2,,,,,,,,,,,,,,,,,,,,,,
"Winnsboro, LA",+32.1613937,-091.7206051,8358324.572,,,,,,,,,,,,,,,,,,,,,,
"Monroe, LA",+32.5215159,-092.1165990,241306473,,,,,,,,,,,,,,,,,,,,,,
"Eunice, LA",+30.4933728,-092.4180979,18551828.71,,,,,,,,,,,,,,,,,,,,,,
"St. Martinville, LA",+30.1347993,-091.8282394,10804203.88,,,,,,,,,,,,,,,,,,,,,,
"Slidell, LA",+30.2886130,-089.7727866,144420139.6,,,,,,,,,,,,,,,,,,,,,,
"Demopolis, AL",+32.5050051,-087.8318983,11840173.8,,,,,,,,,,,,,,,,,,,,,,
"Monroeville, AL",+31.5155112,-087.3248859,12581354.52,,,,,,,,,,,,,,,,,,,,,,
